Index,Red,Green,Blue,NIR,SWIR_1,SWIR_2
3087,0.08873846,0.07786153,0.05392692,0.2823154,0.09789231,0.04261923
3088,0.08243846,0.06978461,0.037423074,0.37813464,0.13921922,0.054734614
3089,0.083623074,0.0698923,0.039630767,0.33828846,0.13270384,0.053011537
3090,0.08332692,0.07088846,0.039873075,0.33532694,0.12993076,0.055353843
3091,0.08308461,0.07056538,0.038634613,0.3828731,0.14231539,0.057265382
3092,0.083165385,0.070834614,0.038203843,0.38494617,0.14651538,0.05871923
3093,0.08324615,0.069515385,0.038042303,0.38279232,0.14584231,0.05847692
3094,0.083165385,0.06825,0.037503842,0.3895231,0.14670384,0.058530767
3095,0.08243846,0.067334615,0.0366423,0.39671156,0.14702693,0.05742692
3096,0.082088456,0.06717307,0.03669615,0.39843464,0.15036538,0.059069227
3097,0.08211538,0.067469224,0.036453843,0.4051654,0.15453847,0.060253844
3098,0.082411535,0.06800769,0.036561534,0.40667307,0.15289615,0.059284613
3099,0.08222307,0.06803461,0.036857687,0.40731925,0.15645,0.06195
3100,0.08286923,0.06881538,0.037369225,0.40430385,0.15076923,0.059769228
3101,0.08257307,0.068223074,0.03688461,0.3899,0.14481923,0.056511536
3102,0.08265384,0.06806154,0.036911536,0.3914346,0.14215384,0.055919226
3103,0.08225,0.06682307,0.03634615,0.38578078,0.14005384,0.05567692
3104,0.082303844,0.06765769,0.03680384,0.38763848,0.14183077,0.05594615
3105,0.08321923,0.07029615,0.037449997,0.38995385,0.14430769,0.05718461
3106,0.08335385,0.07220769,0.038634613,0.3954731,0.14651538,0.058584612
3107,0.08389231,0.073984616,0.039361533,0.41130385,0.15405385,0.06170769
3108,0.08435,0.07740384,0.040923074,0.42457694,0.16186154,0.06507307
3109,0.08418846,0.078588456,0.040949997,0.42869616,0.16555,0.06534231
3110,0.08375769,0.076946154,0.039980765,0.4294231,0.16283077,0.064615384
3111,0.08429615,0.079261534,0.04245769,0.4283731,0.1689423,0.06703846
3112,0.08424231,0.079019226,0.041865382,0.41736156,0.17185,0.068330765
3113,0.08472692,0.076084614,0.042403843,0.37304616,0.15521154,0.06302692
3114,0.08381154,0.07016154,0.043992303,0.23245385,0.118111536,0.052580766
3115,0.08351538,0.069515385,0.04229615,0.2526731,0.117680766,0.053334612
3116,0.08424231,0.07495385,0.04237692,0.3525577,0.14481923,0.06116923
3117,0.084269226,0.07484615,0.041892305,0.35078079,0.14931539,0.062003843
3118,0.08456538,0.07428077,0.042349998,0.34744233,0.14780769,0.06170769
3119,0.08499615,0.07675769,0.042699996,0.38432693,0.15599231,0.064938456
3120,0.08346154,0.067765385,0.037961535,0.3579423,0.14422692,0.058073074
